Class,Round,Pick,Pick_Ovr,Team,First_name,Last_name,Position,College
2013,1,1,1,KAN,Eric,Fisher,T,Central Michigan
2013,1,2,2,JAX,Luke,Joeckel,T,Texas A&M
2013,1,3,3,MIA,Dion,Jordan,DE,Oregon
2013,1,4,4,PHI,Lane,Johnson,T,Oklahoma
2013,1,5,5,DET,Ezekiel,Ansah,DE,BYU
2013,1,6,6,CLE,Barkevious,Mingo,LB,LSU
2013,1,7,7,ARI,Jonathan,Cooper,G,North Carolina
2013,1,8,8,STL,Tavon,Austin,WR,West Virginia
2013,1,9,9,NYJ,Dee,Milliner,DB,Alabama
2013,1,10,10,TEN,Chance,Warmack,G,Alabama
2013,1,11,11,SDG,D.J.,Fluker,T,Alabama
2013,1,12,12,OAK,D.J.,Hayden,DB,Houston
2013,1,13,13,NYJ,Sheldon,Richardson,DT,Missouri
2013,1,14,14,CAR,Star,Lotulelei,DT,Utah
2013,1,15,15,NOR,Kenny,Vaccaro,DB,Texas
2013,1,16,16,BUF,EJ,Manuel,QB,Florida St.
2013,1,17,17,PIT,Jarvis,Jones,LB,Georgia
2013,1,18,18,SFO,Eric,Reid,DB,LSU
2013,1,19,19,NYG,Justin,Pugh,T,Syracuse
2013,1,20,20,CHI,Kyle,Long,G,Oregon
2013,1,21,21,CIN,Tyler,Eifert,TE,Notre Dame
2013,1,22,22,ATL,Desmond,Trufant,DB,Washington
2013,1,23,23,MIN,Sharrif,Floyd,DT,Florida
2013,1,24,24,IND,Bjoern,Werner,DE,Florida St.
2013,1,25,25,MIN,Xavier,Rhodes,DB,Florida St.
2013,1,26,26,GNB,Datone,Jones,DE,UCLA
2013,1,27,27,HOU,DeAndre,Hopkins,WR,Clemson
2013,1,28,28,DEN,Sylvester,Williams,DT,North Carolina
2013,1,29,29,MIN,Cordarrelle,Patterson,WR,Tennessee
2013,1,30,30,STL,Alec,Ogletree,LB,Georgia
2013,1,31,31,DAL,Travis,Frederick,C,Wisconsin
2013,1,32,32,BAL,Matt,Elam,DB,Florida
2013,2,1,34,JAX,Johnathan,Cyprien,DB,Florida International
2013,2,2,35,TEN,Justin,Hunter,WR,Tennessee
2013,2,3,36,PHI,Zach,Ertz,TE,Stanford
2013,2,4,37,DET,Darius,Slay,DB,Mississippi St.
2013,2,5,38,CIN,Giovani,Bernard,RB,North Carolina
2013,2,6,39,SDG,Manti,Te'o,LB,Notre Dame
2013,2,7,40,NYJ,Geno,Smith,QB,West Virginia
2013,2,8,41,SFO,Tank,Carradine,DE,Florida St.
2013,2,9,42,BUF,Robert,Woods,WR,USC
2013,2,10,43,OAK,Menelik,Watson,T,Florida St.
2013,2,11,44,TAM,Johnthan,Banks,DB,Mississippi St.
2013,2,12,45,CAR,Kawann,Short,DT,Purdue
2013,2,13,46,ARI,Kevin,Minter,LB,LSU
2013,2,14,47,BUF,Kiko,Alonso,LB,Oregon
2013,2,15,48,DAL,Gavin,Escobar,TE,San Diego St.
2013,2,16,49,PIT,Le'Veon,Bell,RB,Michigan St.
2013,2,17,50,NYG,Johnathan,Hankins,DT,Ohio St.
2013,2,18,51,CHI,Jonathan,Bostic,LB,Florida
2013,2,19,52,WAS,David,Amerson,DB,North Carolina St.
2013,2,20,53,NWE,Jamie,Collins,LB,Southern Miss
2013,2,21,54,CIN,Margus,Hunt,DE,SMU
2013,2,22,55,MIA,Jamar,Taylor,DB,Boise St.
2013,2,23,56,SFO,Vance,McDonald,TE,Rice
2013,2,24,57,BAL,Arthur,Brown,LB,Kansas St.
2013,2,25,58,HOU,D.J.,Swearinger,DB,South Carolina
2013,2,26,59,DEN,Montee,Ball,RB,Wisconsin
2013,2,27,60,NWE,Aaron,Dobson,WR,Marshall
2013,2,28,61,ATL,Robert,Alford,DB,Southeastern Louisiana
2013,2,29,62,GNB,Eddie,Lacy,RB,Alabama
2013,2,30,63,SEA,Christine,Michael,RB,Texas A&M
2013,3,1,65,KAN,Travis,Kelce,TE,Cincinnati
2013,3,2,66,JAX,Dwayne,Gratz,DB,Connecticut
2013,3,3,67,DET,Larry,Warford,G,Kentucky
2013,3,4,68,OAK,Sio,Moore,LB,Connecticut
2013,3,5,69,PHI,Bennie,Logan,DT,LSU
2013,3,6,70,CLE,Leon,McFadden,DB,San Diego St.
2013,3,7,71,ARI,Tyrann,Mathieu,DB,LSU
2013,3,8,72,TEN,Blidi,Wreh-Wilson,DB,Connecticut
2013,3,9,73,STL,T.J.,McDonald,DB,USC
2013,3,10,74,NYJ,Brian,Winters,G,Kent St.
2013,3,11,75,TAM,Mike,Glennon,QB,North Carolina St.
2013,3,12,76,DAL,Terrance,Williams,WR,Baylor
2013,3,13,77,NOR,Terron,Armstead,T,Ark-Pine Bluff
2013,3,14,78,SDG,Keenan,Allen,WR,California
2013,3,15,79,MIA,Dallas,Thomas,T,Tennessee
2013,3,16,80,BUF,Marquise,Goodwin,WR,Texas
2013,3,17,81,PIT,Markus,Wheaton,WR,Oregon St.
2013,3,18,82,DAL,J.J.,Wilcox,DB,Georgia Southern
2013,3,19,83,NYG,Damontre,Moore,DE,Texas A&M
2013,3,20,84,NOR,John,Jenkins,DT,Georgia
2013,3,21,85,NWE,Logan,Ryan,DB,Rutgers
2013,3,22,86,CIN,Shawn,Williams,DB,Georgia
2013,3,23,87,WAS,Jordan,Reed,TE,Florida
2013,3,24,88,IND,Hugh,Thornton,G,Illinois
2013,3,25,89,SEA,Jordan,Hill,DT,Penn St.
2013,3,26,90,SFO,Corey,Lemonier,DE,Auburn
2013,3,27,91,HOU,Brennan,Williams,OL,North Carolina
2013,3,28,92,DEN,Kayvon,Webster,DB,South Florida
2013,3,29,93,NWE,Duron,Harmon,DB,Rutgers
2013,3,30,94,STL,Stedman,Bailey,WR,West Virginia
2013,3,31,95,MIA,Will,Davis,DB,Utah St.
2013,3,32,96,BAL,Brandon,Williams,DT,Missouri Southern
2013,3,33,97,HOU,Sam,Montgomery,DE,LSU
2013,3,34,98,KAN,Knile,Davis,RB,Arkansas
2013,3,35,99,TEN,Zaviar,Gooden,LB,Missouri
2013,4,1,101,PHI,Matt,Barkley,QB,USC
2013,4,2,102,KAN,Nico,Johnson,LB,Alabama
2013,4,3,103,TAM,Akeem,Spence,DT,Illinois
2013,4,4,104,JAX,Ace,Sanders,WR,South Carolina
